product code,Product,Quantity,Unit Cost,Status,Open,Source Location,Dest. Location,Posting Date,Date Done,User,Advance Invoice No,Invoice No,Reference,Partner,Address,SK,C_ADM,Bank,Cost center,Dep,Gruop,M,Projects,Salis,Skyrius,Tax,Years,Pajamos/Sąnaudos,UOM,Packing List,Production Lot,IMEI,IMSI,ICCID,MSISDN,Date,Confirmed Delivery Date,Name,Amount,Rem. Quantity,Rem. Amount
,[391] EasyCAN (LCV),500,6.81932,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 12:30,,494902,RUP-55360,SO069078,[SP] Fleet Complete Eesti OÜ,"Piret Papper, Lõõtsa 1A 11415 Talinn",,,,,,,,,,,,,,PCS,PACK106666,,,,,,4/30/2024 12:30,,EasyCAN LCV (J1939),3409.66,,
,[K00108] HCV harness EasyCAN for Fleet Complete,500,1.76476,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 12:30,,494902,RUP-55360,SO069078,[SP] Fleet Complete Eesti OÜ,"Piret Papper, Lõõtsa 1A 11415 Talinn",,,,,,,,,,,,,,PCS,PACK106666,,,,,,4/30/2024 12:30,,HCV harness EasyCAN for Fleet Complete,882.38,,
,[HCV5-LTM-FTE] HCV5 4G FTE,500,40.89678,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 12:22,,495129,RUP-55355,SO069108,[SP] Fleet Complete Eesti OÜ,"Piret Papper, Lõõtsa 1A 11415 Talinn",,,,,,,,,,,,,,PCS,PACK106822,,,,,,4/30/2024 12:22,,HCV5 4G FTE,20448.39,,
,[Plug5-LTM-EMEA-BT] Plug5-LTM-EMEA-BT,1,,done,TRUE,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 4:55,,495848,RUP-55343,SO069184,[SP] Droids Agency A/S,"Andreas Bisgaard, Njalsgade 76, 3. Sal 2300",,,,,,,,,,,,,,PCS,PACK107667,,,,,,4/30/2024 4:55,,Plug5-LTM-EMEA-BT,,-1,
,[Eco5-5W-LTE-LA-IP54] Eco5-5W-LTE-LA-IP54,2,22.515,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 5:48,,496231,RUP-55344,SO069256,[SP] Exalto Group,"Nelson Ribeiro, Avesweg 32 | Willemstad 0000 CW Willemstad",,,,,,,,,,,,,,PCS,PACK107684,,,,,,4/30/2024 5:48,,Eco5-5W-LTE-LA-IP54,45.03,,
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,100,42.7825,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:20,,496245,RUP-55348,SO069263,[SP] SIMNAVI,"Szymon Bienkowski, Piątkowska 163 60-650 Poznan",,,,,,,,,,,,,,PCS,PACK107655,,,,,,4/30/2024 8:20,,HCV5 4G Global BLE,4278.25,,
,[HCV5-Lite-LTE-EMEA] HCV5-Lite-EMEA,25,31.4196,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,HCV5-Lite-EMEA,785.49,,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,180,22.10311,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TRACE5-LTE-EMEA,3978.56,,
,[TRACE5-LTE-IP67-EMEA] TRACE5-LTE-IP67-EMEA,40,26.03825,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TRACE5-LTE-IP67-EMEA,1041.53,,
,[K00129] Side 1: Pitch 3.0mm 2x6 pins housing + tin plating terminals Side 2: End Cut,50,0.6272,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,Cable for Trace5 IP 30 devices,31.36,,
,[K00081] TCO5 14pin harness,50,0.8258,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TCO5 14pin harness,41.29,,
,[K00082] TCO5 16pin harness,50,0.9812,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TCO5 16pin harness,49.06,,
,[Relay12V] Relay  / Relė 12V,100,0.77,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,Relay 12V / Degimo blokavimo relė 12V,77,,
,[RE-SOCK/C] Socket for the relay with wires (~20cm in lenght) complies with HRA4,100,0.5152,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,Ignition Block Relay Connection socket,51.52,,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,60,22.10317,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:17,,496295,RUP-55352,SO069271,[SP] ATEXYS,"Manuel Bonniot, 46 rue du Cornonet 63800",,,,,,,,,,,,,,PCS,PACK107678,,,,,,4/30/2024 10:17,,TRACE5-LTE-EMEA,1326.19,,
,[TRACE5-LTM-IP67 (TT)] Trace 5 LTM IP67 TT,3,,done,TRUE,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:17,,496295,RUP-55352,SO069271,[SP] ATEXYS,"Manuel Bonniot, 46 rue du Cornonet 63800",,,,,,,,,,,,,,PCS,PACK107678,,,,,,4/30/2024 10:17,,Trace 5 LTM IP67 TT,,-3,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,40,22.103,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 7:55,,496296,RUP-55346,SO069272,[SP] ATEXYS,"Manuel Bonniot, 46 rue du Cornonet 63800",,,,,,,,,,,,,,PCS,PACK107679,,,,,,4/30/2024 7:55,,TRACE5-LTE-EMEA,884.12,,
,[TRACE5-LTM-IP67 (TT)] Trace 5 LTM IP67 TT,1,,done,TRUE,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:06,,496304,RUP-55351,SO069275,[SP] TekSat,"LAYANI LAURENT, 59 Avenue de l’Europe 95330",,,,,,,,,,,,,,PCS,PACK107673,,,,,,4/30/2024 10:06,,Trace 5 LTM IP67 TT,,-1,
,[HCV5-Lite-LTE-EMEA] HCV5-Lite-EMEA,150,31.28,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:43,,496310,RUP-55350,SO069099,[SP] NTS INT,"Velimir Kuzmanovic, Industrijska cesta 2C, 6310 1000 Izola",,,,,,,,,,,,,,PCS,PACK107666,,,,,,4/30/2024 8:43,,HCV5-Lite-EMEA,4692,,
,[Temp_01] Temperature_sensor,200,7.1959,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:43,,496310,RUP-55350,SO069099,[SP] NTS INT,"Velimir Kuzmanovic, Industrijska cesta 2C, 6310 1000 Izola",,,,,,,,,,,,,,PCS,PACK107666,,,,,,4/30/2024 8:43,,1-Wire Temperature Sensor / Temperatūros jutiklis,1439.18,,
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,40,42.682,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:42,,496351,RUP-55349,SO068360,[SP] Actualred,"Federico PeĂ±a, Zorrilla 1248 Paysandú",,,,,,,,,,,,,,PCS,PACK107525,,,,,,4/30/2024 8:42,,HCV5 4G Global BLE,1707.28,,
,[391] EasyCAN (LCV),40,6.952,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:42,,496351,RUP-55349,SO068360,[SP] Actualred,"Federico PeĂ±a, Zorrilla 1248 Paysandú",,,,,,,,,,,,,,PCS,PACK107525,,,,,,4/30/2024 8:42,,EasyCAN LCV (J1939),278.08,,
,[BLUE_PUCK_DI] ELA BLUE PUCK DI,30,25,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:42,,496351,RUP-55349,SO068360,[SP] Actualred,"Federico PeĂ±a, Zorrilla 1248 Paysandú",,,,,,,,,,,,,,PCS,PACK107525,,,,,,4/30/2024 8:42,,[BLUE_PUCK_DI] ELA BLUE PUCK DI,750,,
,[BLUE_PUCK_MAG] ELA BLUE PUCK MAG,20,14,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:42,,496351,RUP-55349,SO068360,[SP] Actualred,"Federico PeĂ±a, Zorrilla 1248 Paysandú",,,,,,,,,,,,,,PCS,PACK107525,,,,,,4/30/2024 8:42,,[BLUE_PUCK_MAG] ELA BLUE PUCK MAG,280,,
,[TRACE5-LTE-LA] TRACE5-LTE-LA,250,22.209,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 11:32,,496519,RUP-55354,SO069167,[SP] MATECH TECHNOLOGY S.A.S,"Ricardo Reyes, CL 130 A 58 A 29 P 2 111121 Bogota",,,,,,,,,,,,,,PCS,PACK107664,,,,,,4/30/2024 11:32,,TRACE5-LTE-LA,5552.25,,
,[Pro5-Lite-LTE-LA] Pro5-Lite-LA,17,32.66353,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 11:32,,496519,RUP-55354,SO069167,[SP] MATECH TECHNOLOGY S.A.S,"Ricardo Reyes, CL 130 A 58 A 29 P 2 111121 Bogota",,,,,,,,,,,,,,PCS,PACK107664,,,,,,4/30/2024 11:32,,Pro5-Lite-LA,555.28,,
,[Eco5-5W-LTE-LA-IP54] Eco5-5W-LTE-LA-IP54,2,22.515,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 11:32,,496519,RUP-55354,SO069167,[SP] MATECH TECHNOLOGY S.A.S,"Ricardo Reyes, CL 130 A 58 A 29 P 2 111121 Bogota",,,,,,,,,,,,,,PCS,PACK107664,,,,,,4/30/2024 11:32,,Eco5-5W-LTE-LA-IP54,45.03,,
,"[B00002] GPS/GLONASS Antenna / Antena JCL002, RG174 1.5m, SMA male connector ",15,2.02667,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 8:19,,496384,RUP-55347,SO069281,[SP] Protelum,"Aare Ignatov, Radiomehenkatu 3-4 20320 Turku",,,,,,,,,,,,,,PCS,PACK107696,,,,,,4/30/2024 8:19,,Pro4/Tco4 antenna,30.4,,
,[FM-Eco4 light+ T] FM-Eco4 light+ T,300,18.4917,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 11:17,,496510,RUP-55353,SO069293,[SP] BMC Satellite,"YASSINE KARRAY, 55 Avenue de l'environnement 2073 Tunis",,,,,,,,,,,,,,PCS,PACK107712,,,,,,4/30/2024 11:17,,FM-Eco4 light+ T,5547.51,,
,[TRACE5-LTM-IP67] Trace 5 LTM IP67,400,25.50848,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 12:23,,494911,RUP-55341,SO069081,"[SP] Sistemas y Servicios de Comunicación, S.A. de C.V.","Carlos Ivan Wong Martinez, 1630 E. Paisano Dr. suite C 79901 El Paso",,,,,,,,,,,,,,PCS,PACK106884,,,,,,4/29/2024 12:23,,Trace 5 LTM IP67,10203.39,,
,[Pro5-Lite-LTE-LA] Pro5-Lite-LA,250,32.52,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 12:23,,494911,RUP-55341,SO069081,"[SP] Sistemas y Servicios de Comunicación, S.A. de C.V.","Carlos Ivan Wong Martinez, 1630 E. Paisano Dr. suite C 79901 El Paso",,,,,,,,,,,,,,PCS,PACK106884,,,,,,4/29/2024 12:23,,Pro5-Lite-LA,8130,,
,[TRACE5-LTM] Trace5 LTM,4000,22.86503,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 12:23,,494911,RUP-55341,SO069081,"[SP] Sistemas y Servicios de Comunicación, S.A. de C.V.","Carlos Ivan Wong Martinez, 1630 E. Paisano Dr. suite C 79901 El Paso",,,,,,,,,,,,,,PCS,PACK106884,,,,,,4/29/2024 12:23,,Trace5 LTM,91460.12,,
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,50,42.9384,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 12:23,,494911,RUP-55341,SO069081,"[SP] Sistemas y Servicios de Comunicación, S.A. de C.V.","Carlos Ivan Wong Martinez, 1630 E. Paisano Dr. suite C 79901 El Paso",,,,,,,,,,,,,,PCS,PACK106884,,,,,,4/29/2024 12:23,,HCV5 4G Global BLE,2146.92,,
,[K00129] Side 1: Pitch 3.0mm 2x6 pins housing + tin plating terminals Side 2: End Cut,40,0.62725,done,,Kauno filialas,Customers,4/29/2024,4/29/2024 12:23,,494911,RUP-55341,SO069081,"[SP] Sistemas y Servicios de Comunicación, S.A. de C.V.","Carlos Ivan Wong Martinez, 1630 E. Paisano Dr. suite C 79901 El Paso",,,,,,,,,,,,,,PCS,PACK106884,,,,,,4/29/2024 12:23,,Cable for Trace5 IP 30 devices,25.09,,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,60,22.10317,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 10:52,,495380,RUP-55340,SO069148,[SP] KYBURZ Switzerland AG,"Hanspeter Wepfer, Tannenstrasse 98 8424 Embrach",,,,,,,,,,,,,,PCS,PACK107154,,,,,,4/29/2024 10:52,,TRACE5-LTE-EMEA,1326.19,,
,[Pro5-LTM-GL-BT] Pro5 4G Global BLE,100,43.0778,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 10:52,,495380,RUP-55340,SO069148,[SP] KYBURZ Switzerland AG,"Hanspeter Wepfer, Tannenstrasse 98 8424 Embrach",,,,,,,,,,,,,,PCS,PACK107154,,,,,,4/29/2024 10:52,,Pro5 4G Global,4307.78,,
,[HCV5-Lite-LTE-EMEA] HCV5-Lite-EMEA,6,31.24833,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 7:23,,496255,RUP-55337,SO069265,[SP] Scortel Ltd.,"Hristo Golov, 29 Deliyska vodenitsa str. 1st floor 1574 Sofia",,,,,,,,,,,,,,PCS,PACK107555,,,,,,4/29/2024 7:23,,HCV5-Lite-EMEA,187.49,,
,[TRACE5-LTE-IP67-EMEA] TRACE5-LTE-IP67-EMEA,5,26.17,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 7:23,,496255,RUP-55337,SO069265,[SP] Scortel Ltd.,"Hristo Golov, 29 Deliyska vodenitsa str. 1st floor 1574 Sofia",,,,,,,,,,,,,,PCS,PACK107555,,,,,,4/29/2024 7:23,,TRACE5-LTE-IP67-EMEA,130.85,,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,20,22.103,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 8:34,,496290,RUP-55338,SO069269,[SP] 2btracked-systems,"Arno Hoeksel, Kling 29 5432 MD Cuijk",,,,,,,,,,,,,,PCS,PACK107544,,,,,,4/29/2024 8:34,,TRACE5-LTE-EMEA,442.06,,
,[Eco5-5W-LTE-EMEA-IP54] Eco5-5W-LTE-EMEA-IP54,20,21.338,done,,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 8:34,,496290,RUP-55338,SO069269,[SP] 2btracked-systems,"Arno Hoeksel, Kling 29 5432 MD Cuijk",,,,,,,,,,,,,,PCS,PACK107544,,,,,,4/29/2024 8:34,,Eco5-5W-LTE-EMEA-IP54,426.76,,
,[Plug5-LTM-EMEA-BT] Plug5-LTM-EMEA-BT,2,,done,TRUE,Final Production Warehouse (Kaunas),Customers,4/29/2024,4/29/2024 8:34,,496290,RUP-55338,SO069269,[SP] 2btracked-systems,"Arno Hoeksel, Kling 29 5432 MD Cuijk",,,,,,,,,,,,,,PCS,PACK107544,,,,,,4/29/2024 8:34,,Plug5-LTM-EMEA-BT,,-2,
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,120,42.89083,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 11:17,,495135,RUP-55336,SO069112,[SP] Abax As,"Niko Lassila, Hammergata 24 3264 Larvik",,,,,,,,,,,,,,PCS,PACK106867,,,,,,4/26/2024 11:17,,HCV5 4G Global BLE,5146.9,,
,[Plug5-LTM-EMEA-BT] Plug5-LTM-EMEA-BT,100,46.87256,done,TRUE,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 5:14,,495202,RUP-55326,SO069122,[SP] SAS SOFLEET,"JEAN FALCHERO, 836 rue du Mas de Verchant 34000 Montpellier",,,,,,,,,,,,,,PCS,PACK107096,,,,,,4/26/2024 5:14,,Plug5-LTM-EMEA-BT,4687.26,-61,2859.23
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,100,42.9699,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 10:20,,495283,RUP-55335,SO069138,[SP] Sud Telématique,"Xavier Boulanger, 150 Rue de la Découverte Buroparc II 31 670 31670 Labege",,,,,,,,,,,,,,PCS,PACK107108,,,,,,4/26/2024 10:20,,HCV5 4G Global BLE,4296.99,,
,[K00090] FMS harness with accessory wires 0.5 m (CS116-33-01),300,5.33757,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 10:20,,495283,RUP-55335,SO069138,[SP] Sud Telématique,"Xavier Boulanger, 150 Rue de la Découverte Buroparc II 31 670 31670 Labege",,,,,,,,,,,,,,PCS,PACK107108,,,,,,4/26/2024 10:20,,FMS harness with accessory wires 0.5 m,1601.27,,
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,5,42.366,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 8:14,,495724,RUP-55331,SO069163,[SP] FUELCHECK GPS SOLUTIONS SA,"Pablo Cohen, 14 AVENIDA 17-67 ZONA 10 EDIFICIO CORPORACIÓN ASI, GUATEMALA 01010 Guatemala",,,,,,,,,,,,,,PCS,PACK107479,,,,,,4/26/2024 8:14,,HCV5 4G Global BLE,211.83,,
,[K00128] Thermoking splitter harness for HCV5 (CS116-59),5,12.914,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 8:14,,495724,RUP-55331,SO069163,[SP] FUELCHECK GPS SOLUTIONS SA,"Pablo Cohen, 14 AVENIDA 17-67 ZONA 10 EDIFICIO CORPORACIÓN ASI, GUATEMALA 01010 Guatemala",,,,,,,,,,,,,,PCS,PACK107479,,,,,,4/26/2024 8:14,,Thermoking splitter harness,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[FM-Eco4 light+ T] FM-Eco4 light+ T,300,18.48733,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 9:57,,496095,RUP-55332,SO069126,[SP] AmsTeknologie,"GCL Logistics FZCO, GCL Logistics FZCO, JAFZA-YIWU MARKET WAREHOUSE WHS: D011 Dubai",,,,,,,,,,,,,,PCS,PACK107444,,,,,,4/26/2024 9:57,,FM-Eco4 light+ T,5546.2,,
,[Relay12V] Relay  / Relė 12V,100,0.77,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 9:57,,496095,RUP-55332,SO069126,[SP] AmsTeknologie,"GCL Logistics FZCO, GCL Logistics FZCO, JAFZA-YIWU MARKET WAREHOUSE WHS: D011 Dubai",,,,,,,,,,,,,,PCS,PACK107444,,,,,,4/26/2024 9:57,,Relay 12V / Degimo blokavimo relė 12V,77,,
,[RE-SOCK/C] Socket for the relay with wires (~20cm in lenght) complies with HRA4,100,0.88,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 9:57,,496095,RUP-55332,SO069126,[SP] AmsTeknologie,"GCL Logistics FZCO, GCL Logistics FZCO, JAFZA-YIWU MARKET WAREHOUSE WHS: D011 Dubai",,,,,,,,,,,,,,PCS,PACK107444,,,,,,4/26/2024 9:57,,Ignition Block Relay Connection socket,88,,
,[Pro5-LTM-GL-BT] Pro5 4G Global BLE,2,41.135,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 7:36,,496138,RUP-55328,SO069233,[SP] Radijo ryšio sistemos,"Aušra Ordienė, Kirtimų g. 47 LT-02244 Vilnius",,,,,,,,,,,,,,PCS,PACK107461,,,,,,4/26/2024 7:36,,Pro5 4G Global,82.27,,
,[Pro5-Lite-LTE-LA] Pro5-Lite-LA,85,32.51,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 8:21,,496179,RUP-55330,SO068862,[SP] (FS) Ruptec,"Leandro Lowenstern, Alejandro Magariños Cervantes 1619 2° 8 1416 Buenos Aires",,,,,,,,,,,,,,PCS,PACK107521,,,,,,4/26/2024 8:21,,Pro5-Lite-LA,2763.35,,
,[TRACE5-LTE-LA] TRACE5-LTE-LA,250,22.63504,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 8:21,,496179,RUP-55330,SO068862,[SP] (FS) Ruptec,"Leandro Lowenstern, Alejandro Magariños Cervantes 1619 2° 8 1416 Buenos Aires",,,,,,,,,,,,,,PCS,PACK107521,,,,,,4/26/2024 8:21,,TRACE5-LTE-LA,5658.76,,
,[Eco5-5W-LTE-LA-IP54] Eco5-5W-LTE-LA-IP54,20,22.511,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 8:21,,496179,RUP-55330,SO068862,[SP] (FS) Ruptec,"Leandro Lowenstern, Alejandro Magariños Cervantes 1619 2° 8 1416 Buenos Aires",,,,,,,,,,,,,,PCS,PACK107521,,,,,,4/26/2024 8:21,,Eco5-5W-LTE-LA-IP54,450.22,,
,[TRACE5-LTE-LA] TRACE5-LTE-LA,15,22.63533,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 8:21,,496179,RUP-55330,SO068862,[SP] (FS) Ruptec,"Leandro Lowenstern, Alejandro Magariños Cervantes 1619 2° 8 1416 Buenos Aires",,,,,,,,,,,,,,PCS,PACK107521,,,,,,4/26/2024 8:21,,TRACE5-LTE-LA,339.53,,
,[K00129] Side 1: Pitch 3.0mm 2x6 pins housing + tin plating terminals Side 2: End Cut,10,0.627,done,,Kauno filialas,Customers,4/26/2024,4/26/2024 8:21,,496179,RUP-55330,SO068862,[SP] (FS) Ruptec,"Leandro Lowenstern, Alejandro Magariños Cervantes 1619 2° 8 1416 Buenos Aires",,,,,,,,,,,,,,PCS,PACK107521,,,,,,4/26/2024 8:21,,Cable for Trace5 IP 30 devices,6.27,,
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,2,39.95,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 7:54,,496333,RUP-55329,SO069243,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107469,,,,,,4/26/2024 7:54,,HCV5 4G Global BLE,79.9,,
,[Temp_01] Temperature_sensor,5,7.196,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 7:54,,496333,RUP-55329,SO069243,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107469,,,,,,4/26/2024 7:54,,1-Wire Temperature Sensor / Temperatūros jutiklis,35.98,,
,[K00128] Thermoking splitter harness for HCV5 (CS116-59),1,12.91,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 7:54,,496333,RUP-55329,SO069243,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107469,,,,,,4/26/2024 7:54,,Thermoking splitter harness,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,1455,22.10312,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 7:35,,496332,RUP-55327,SO069054,[SP] Prime Beacon Technologies LLC,"Mr. Abbad Fouad Kharsa, Salah Addin Al Ayoubi Rd. Al Malaz Dist. Bldg no. 6999 12836 Riyadh",,,,,,,,,,,,,,PCS,PACK106635,,,,,,4/26/2024 7:34,,TRACE5-LTE-EMEA,32160.04,,
,[TRACE5-LTE-IP67-LA] TRACE5-LTE-IP67-LA,500,25.41946,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 11:40,,496340,RUP-55334,SO069222,[Inter] Ruptela SA de CV,"Erasmo Carlos Vite Lara, Viaducto Río de la Piedad 571, Granjas México, Del. Iztacalco 08400 Mexico D.F.",,,,,,,,,,,,,,PCS,PACK107471,,,,,,4/26/2024 11:39,,TRACE5-LTE-IP67-LA,12709.73,,
,[Eco5-5W-LTE-LA-IP54] Eco5-5W-LTE-LA-IP54,100,22.5142,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 11:40,,496340,RUP-55334,SO069222,[Inter] Ruptela SA de CV,"Erasmo Carlos Vite Lara, Viaducto Río de la Piedad 571, Granjas México, Del. Iztacalco 08400 Mexico D.F.",,,,,,,,,,,,,,PCS,PACK107471,,,,,,4/26/2024 11:39,,Eco5-5W-LTE-LA-IP54,2251.42,,
,[Eco5-5W-LTM-IP54] Eco5-5W-LTM-IP54,7,26.81286,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 11:40,,496340,RUP-55334,SO069222,[Inter] Ruptela SA de CV,"Erasmo Carlos Vite Lara, Viaducto Río de la Piedad 571, Granjas México, Del. Iztacalco 08400 Mexico D.F.",,,,,,,,,,,,,,PCS,PACK107471,,,,,,4/26/2024 11:39,,Eco5-5W-LTM-IP54,187.69,,
,[391] EasyCAN (LCV),200,6.972,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 11:40,,496340,RUP-55334,SO069222,[Inter] Ruptela SA de CV,"Erasmo Carlos Vite Lara, Viaducto Río de la Piedad 571, Granjas México, Del. Iztacalco 08400 Mexico D.F.",,,,,,,,,,,,,,PCS,PACK107471,,,,,,4/26/2024 11:39,,EasyCAN LCV (J1939),1394.4,,
,[K00090] FMS harness with accessory wires 0.5 m (CS116-33-01),6,5.34,done,,Final Production Warehouse (Kaunas),Customers,4/26/2024,4/26/2024 11:40,,496340,RUP-55334,SO069222,[Inter] Ruptela SA de CV,"Erasmo Carlos Vite Lara, Viaducto Río de la Piedad 571, Granjas México, Del. Iztacalco 08400 Mexico D.F.",,,,,,,,,,,,,,PCS,PACK107471,,,,,,4/26/2024 11:39,,FMS harness with accessory wires 0.5 m,32.04,,
